full_name;gender;age;country;income;number_of_dependents;dietary_requirements
Linnea Dublin;Female;49;Colombia;109726.79;5;
Maryjo Allnutt;Female;42;Tajikistan;44619.34;1;
Shanie Luffman;Female;66;Venezuela;75244.96;3;Fish Allergies
Abrahan Meyer;Male;61;Indonesia;113315.39;2;
Josepha Yare;Polygender;30;Russia;49641.71;3;
Donnell Driffill;Male;90;Philippines;148799.89;5;FODMAP
Cletus Gittoes;Male;64;Colombia;86458.47;4;Vegetarian
Melloney Shearwood;Female;70;China;143090.16;2;Lactose free
Elnar Giles;Male;21;Indonesia;26927.93;1;
Faith Parrington;Female;58;Nigeria;83469.51;4;Nut Allergies
Larina Westwater;Female;54;China;126399.99;4;Nut Allergies
Luisa Dilawey;Female;28;China;55495.35;1;
Camila Flowitt;Female;80;Argentina;123014.41;5;
Pebrook Tookill;Male;50;France;144983.46;3;
Ty McCague;Male;64;China;87142.29;0;
Alain Alster;Male;57;Japan;68285.62;0;
Raimondo Nel;Male;69;Swaziland;83295.92;5;FODMAP
Ev Stollsteimer;Polygender;38;Japan;98416.09;1;
Elias Walne;Male;59;Sweden;63835.31;1;Vegetarian
Tiff MacNeilage;Female;60;Thailand;71421.59;1;
Isidro Ascough;Male;69;Indonesia;70044.85;2;
Geri Teek;Male;26;France;132739.81;1;Paleo
Rooney Cottle;Male;45;Japan;32564.45;3;
Irene Geering;Female;53;China;29754.54;1;
Jammal Van Der Hoog;Male;88;Tajikistan;52796.41;5;
Fara Wisby;Female;20;Colombia;20416.04;4;Nut Allergies
Pinchas Tearny;Polygender;69;French Polynesia;66211.70;0;
Mozes Sylett;Male;20;China;126904.75;1;Vegan
Imojean Fenney;Female;20;Portugal;94098.91;5;
Jackson Chrishop;Male;59;Philippines;40038.57;4;Ketogenic
Hayes Woodage;Male;71;Mongolia;129581.22;3;
Norby Girogetti;Male;47;Croatia;91099.92;2;Vegetarian
Lauren Asgodby;Genderqueer;52;United States;33969.84;2;
Quinn Rosenthal;Female;88;United States;76706.22;1;
Joaquin D'Alessandro;Male;82;Jamaica;33401.43;0;FODMAP
Nani Crocken;Agender;21;Slovenia;73877.10;1;
Michele Spatoni;Male;23;Indonesia;109333.03;2;Vegan
Karrah Stittle;Female;78;Ukraine;118261.40;0;Paleo
Nico Olsson;Male;48;Greece;126990.78;2;Lactose free
Chandler Jeannesson;Male;86;Ukraine;25635.98;4;Lactose free
Ozzie Grinnov;Male;30;Czech Republic;100587.61;2;Nut Allergies
Arturo Chopy;Male;64;Philippines;117392.57;2;Vegetarian
Evangeline Kilmary;Female;60;China;101670.42;0;Vegetarian
Pennie Lindenbaum;Female;20;Philippines;32529.02;3;FODMAP
Mellicent Thirst;Female;46;Portugal;134249.57;2;Fish Allergies
Phil Boothebie;Male;39;Ukraine;135335.02;0;
Charlie Bottini;Male;82;United States;85402.11;2;Ketogenic
Hadley Armal;Male;88;Indonesia;24143.32;4;
Sarette Haynes;Polygender;46;United States;123851.46;0;Ketogenic
Cecilla Veryard;Female;68;China;29997.34;1;
Uri Geroldi;Male;40;Canada;65967.33;5;Paleo
Muffin Angrave;Male;18;Russia;93165.22;2;Vegetarian
Morganica Hattiff;Non-binary;82;Panama;33066.48;0;
Gayler Dellenbrok;Male;60;China;24214.01;3;Gluten free
Gilberte Bartleet;Female;65;Philippines;134006.96;4;Fish Allergies
Lelia Danilishin;Female;74;Japan;140076.07;3;
Cello Nyland;Male;19;Russia;77060.44;4;
Susette Starie;Female;87;Ukraine;78820.50;4;
Clea Wadelin;Female;66;Togo;25566.35;0;
Deonne Futty;Female;46;Argentina;64559.02;4;
Eustacia Rudyard;Female;52;Indonesia;128053.24;2;Vegan
Jessamine Folder;Female;79;China;67927.45;1;
Moishe Scourge;Male;35;Russia;77934.66;1;Vegetarian
Farrel Arbuckle;Male;22;Russia;141939.92;4;Vegetarian
Archibald Vanni;Male;66;France;112726.15;3;
Brandea Reddyhoff;Female;23;Portugal;86700.94;1;
Allene Skechley;Female;53;China;89972.46;1;
Trevor Herculeson;Male;50;France;110809.72;4;
Hollyanne Hallick;Female;85;China;124050.88;1;Vegan
Chas Matussov;Male;77;France;138434.39;2;
Merrilee Kreuzer;Female;63;Indonesia;64262.77;1;
Janna MacNeillie;Female;89;China;117455.07;4;
Maurie Fydo;Genderqueer;67;China;81943.61;5;
Abra Jeannet;Female;51;Vietnam;77957.34;1;
Garreth Estoile;Male;80;South Africa;101363.45;3;Gluten free
Ingelbert Corrigan;Male;83;Argentina;75046.79;2;
Berty Fullilove;Male;53;Philippines;56214.91;4;
Erin Jessep;Male;65;China;136560.39;3;Vegetarian
Dalt Tolwood;Male;87;Poland;24643.43;2;
Clemmy Cullen;Female;83;Japan;65202.90;1;
Adriana Migheli;Female;22;South Africa;44541.27;5;Nut Allergies
Mel Tyre;Male;28;Nigeria;115770.15;5;
Erhard Mantrup;Male;66;Belarus;116920.37;2;Gluten free
Bonnie McKyrrelly;Female;48;Finland;62172.53;4;
Augusta Ponde;Female;53;United States;145219.46;0;
Dmitri Lothlorien;Male;38;South Korea;53281.89;3;
Isidoro Laidler;Male;75;China;124236.08;1;
Jeanie Drysdale;Genderqueer;54;Poland;106191.23;3;Ketogenic
Panchito Sellar;Male;75;Thailand;145357.74;5;Gluten free
Klement Uttermare;Male;62;Ukraine;124166.90;2;Nut Allergies
Ewan Jupe;Male;57;Thailand;68202.15;3;Vegetarian
Alleen Yegorkin;Female;76;Greece;57137.40;3;Fish Allergies
Nanete Olivetti;Female;90;Indonesia;62528.82;4;
Sarine Haine;Female;54;United States;50271.49;1;Lactose free
Oberon Charopen;Male;52;Ireland;24819.56;0;FODMAP
Benji Ellesworthe;Male;79;Indonesia;21819.18;4;Ketogenic
Babita Christopherson;Female;64;Brazil;77355.56;1;
Cody Gerriessen;Female;56;Sweden;102362.07;1;
Daffie Watmore;Non-binary;86;Kyrgyzstan;84704.18;2;Vegan
Crin Scrase;Female;22;Philippines;24571.70;0;
Daren Fury;Genderqueer;82;Indonesia;38624.54;1;
Denys Billiard;Male;38;Indonesia;68095.98;4;
Wilow Levermore;Non-binary;41;Philippines;54045.93;3;
Daria Gronno;Female;75;Ireland;64011.38;3;Nut Allergies
Evelin Gilhouley;Male;74;Indonesia;141780.65;4;
Gipsy Lightewood;Female;31;Finland;52647.03;2;Nut Allergies
Derrick O'Reilly;Male;37;Uzbekistan;56110.61;5;
Waring Fearnehough;Male;20;Canada;21988.16;5;
Riannon Jiri;Female;67;Indonesia;102608.27;4;Vegetarian
Rafe McLellan;Male;57;Morocco;52270.30;4;Nut Allergies
Zorana Boog;Female;84;United States;31089.41;1;Fish Allergies
Warde Quidenham;Male;71;Indonesia;65625.36;0;Lactose free
Rourke Tapley;Male;73;Indonesia;58179.72;1;
Layton Whicher;Male;47;Poland;103449.55;2;Fish Allergies
Brooke Kilgour;Male;19;Ukraine;33721.44;5;
Kimberley Malser;Female;83;Iran;20603.23;2;
Rowland Carde;Male;22;Brazil;54212.52;4;Vegetarian
Paul Raybould;Male;82;Vietnam;51050.93;5;Vegan
Tera Croose;Female;27;China;27391.48;0;
Stephan Garrud;Male;86;Russia;101633.15;4;
Chauncey Moynham;Male;71;China;100322.79;3;Lactose free
Arlen Iban;Male;42;Indonesia;125695.72;5;Vegan
Pembroke Hasslocher;Male;52;Italy;147671.04;5;
Paquito Leadbeater;Male;37;Finland;49839.88;0;Vegetarian
Kristin Goldin;Female;90;Thailand;80302.83;0;
York Dewen;Male;90;Ireland;80065.67;4;
Stinky Robjohns;Male;19;Indonesia;63260.29;2;Vegetarian
Arin Learned;Male;61;China;126888.27;2;Fish Allergies
Olenolin Langlois;Male;40;China;53960.12;0;
Norma Mathivon;Female;44;Indonesia;62350.38;5;Fish Allergies
Grazia Woodrow;Female;75;China;104083.50;3;
Codee Quaif;Female;19;Serbia;111431.83;1;
Novelia Sellars;Female;34;China;106450.02;1;
Lutero Rudland;Male;49;Thailand;128460.20;4;Vegetarian
Nissa Swanton;Female;69;Indonesia;94512.81;3;Vegan
Arielle Bayless;Female;90;Greece;34296.75;1;Ketogenic
Laetitia Okell;Female;56;Russia;81911.64;2;Gluten free
Taddeo Andrzejewski;Agender;18;Canada;79929.12;2;
Millard Neary;Male;22;Iraq;88644.70;4;Vegan
Skyler Drain;Male;35;South Korea;54219.41;3;Ketogenic
Kara-lynn Collis;Female;23;Serbia;132023.90;4;
Drusi Busain;Female;76;China;148708.34;3;Gluten free
Giustina Dossettor;Female;87;China;72244.37;3;
Archie Abelov;Male;45;Lebanon;42506.07;4;
Theodore Bootes;Male;69;China;118510.10;5;Vegetarian
Marla Dargan;Female;41;Philippines;53294.56;5;
Derrick Staning;Male;21;China;91651.08;5;
Shanna Hazle;Female;41;Ireland;49695.67;1;
Darn Twydell;Male;42;Jamaica;98558.31;2;
Morlee Halwill;Male;37;Brazil;137226.35;3;Nut Allergies
Abbie Farherty;Non-binary;78;United States;45111.71;5;Paleo
Bari Biscomb;Female;60;China;101172.20;3;Nut Allergies
Darcie Hedgecock;Female;74;Indonesia;69585.14;5;Ketogenic
Bat Lalevee;Male;87;Cambodia;97954.53;0;Gluten free
Emelyne Wilshere;Female;54;Nigeria;21449.58;1;
Amos Rubury;Male;68;China;35717.02;4;Paleo
Frants Barnaby;Male;34;Indonesia;135115.15;1;
Adele Diboll;Female;76;China;116812.69;4;Nut Allergies
Gavin Borne;Male;24;Poland;33101.20;3;
Rosaline Demongeot;Female;76;Indonesia;37112.29;5;Gluten free
Nels Patron;Male;36;Sweden;96243.66;2;
Celestyna Tofano;Female;49;China;66733.84;0;Vegetarian
Hester Laurenty;Female;58;China;73692.95;5;Fish Allergies
Myrlene Borghese;Female;89;China;139495.31;3;
Kalle Chestnut;Male;58;United States;132092.95;2;Fish Allergies
Marlo Corpe;Female;58;Poland;107207.88;2;Ketogenic
Harbert Laurisch;Male;44;China;26468.89;0;Vegan
Marlo Ceely;Male;26;China;126455.76;5;Vegan
Eydie Ruprich;Agender;73;China;136957.75;3;Gluten free
Merrielle Chaffer;Female;69;Philippines;21039.35;1;Lactose free
Katinka Lownds;Female;81;Jordan;83529.12;3;
Dosi MacAndreis;Female;84;Afghanistan;89316.60;1;Paleo
Sonnnie Cossar;Female;48;Japan;114143.86;3;
Vickie Manser;Female;50;Czech Republic;40262.89;3;
Kingsly Antonias;Male;88;Indonesia;54809.91;4;
Adham Lampett;Male;78;Indonesia;24673.31;0;FODMAP
Doloritas Heinzel;Female;66;France;40874.91;3;
Brucie Warriner;Male;55;Indonesia;145561.82;0;
Caralie Chrippes;Female;30;Colombia;104196.24;5;Vegetarian
Gabby Wadsworth;Male;20;China;129881.67;5;
Fraze Purrier;Male;18;Colombia;27236.30;2;Paleo
Annetta Danilewicz;Female;83;Philippines;103787.63;3;
Evy Newby;Female;57;Poland;127483.79;1;Fish Allergies
Druci Philpots;Female;42;Portugal;28547.11;3;
Erin Giacoboni;Agender;56;Poland;81475.80;3;
Elvis Scrivens;Male;55;China;72891.56;4;
Rozamond Shackesby;Female;71;Indonesia;43688.44;5;
Massimiliano Horsfield;Male;56;Philippines;20278.66;3;Gluten free
Murdoch Willingam;Male;23;New Zealand;40947.97;1;
Maurie Gallihawk;Agender;79;France;142441.51;4;
La verne Davydoch;Genderqueer;19;Sweden;30521.01;4;FODMAP
Romain McQueen;Polygender;84;Bangladesh;22914.94;3;
Dayle Raittie;Female;35;Germany;83755.75;4;Nut Allergies
Aluin McKeever;Male;45;China;79845.05;2;Ketogenic
Millard Passingham;Male;68;France;100096.23;2;Fish Allergies
Carlie Champerlen;Female;28;Indonesia;73734.45;4;
Patty De Wolfe;Female;67;Ireland;77052.10;4;
Haskel Mustoe;Male;37;Japan;29772.08;2;Vegan
Gabriel Kenion;Male;48;Brazil;88931.45;3;Lactose free
Kalie Leupoldt;Female;47;Indonesia;28775.10;5;
Phedra Bilham;Female;74;China;22491.43;2;Lactose free
Antonio Sarson;Male;51;China;62376.49;5;
Pepi McIlvaney;Female;23;Norway;65351.54;1;Ketogenic
Pat Faldoe;Male;41;China;56001.94;5;
Hortense Emeney;Bigender;20;China;127781.52;1;Paleo
Darrick Bortoloni;Male;64;China;39116.85;5;
Ros Bedow;Polygender;57;China;141068.56;1;Nut Allergies
Caril Adolphine;Female;41;Brazil;147260.53;5;Gluten free
Gizela Gindghill;Female;23;United States;143015.52;3;
Rory Spelwood;Male;29;Uzbekistan;37052.71;4;
Cathyleen Redihough;Female;76;Switzerland;99237.85;1;
Hildegaard Cassius;Female;67;Indonesia;137070.07;2;
Lara Mersh;Female;61;France;135529.24;1;
Jerrylee Giorgioni;Female;80;Dominican Republic;66501.79;0;
Kane Noye;Male;36;Philippines;51717.64;0;
Teddie Whitlow;Male;54;Bosnia and Herzegovina;71368.29;2;
Ambrosio Yate;Male;83;Thailand;20091.66;3;
Marcille Larwood;Genderfluid;79;Portugal;23642.62;1;
Bellina Stafford;Female;82;Haiti;141030.15;3;Paleo
Smitty Darnbrough;Male;34;Brazil;23488.75;4;Gluten free
Irving Tumielli;Male;39;Denmark;48116.09;2;
Garret Newbegin;Male;20;France;136101.76;5;
Alasteir Scanlan;Male;60;Russia;77024.07;4;Vegetarian
Gallagher Montague;Male;31;Japan;25320.38;4;Ketogenic
Myrta Bickerdicke;Female;20;South Africa;137714.33;1;
Elke Davys;Female;57;Poland;76758.10;3;
Dorian Flewett;Male;37;France;55986.38;2;
Linnell Luff;Female;25;Madagascar;104663.69;3;Ketogenic
Hannah Rosenfeld;Female;21;Benin;144930.98;0;
Lyssa Kochs;Female;28;Denmark;146184.31;4;Vegetarian
Tansy Robet;Female;83;China;45018.15;5;Fish Allergies
Hillier Crumbleholme;Male;74;China;130158.73;5;
Fraser Laffranconi;Male;26;Pakistan;40449.04;0;
Halli Arpur;Female;79;Equatorial Guinea;127151.79;1;Vegan
Augusto Janiak;Male;50;French Polynesia;75237.64;3;Lactose free
Coleman Brunker;Male;30;Vietnam;78464.91;1;Nut Allergies
Nisse Strond;Female;44;Switzerland;143421.72;4;Paleo
Mitzi Rickell;Female;85;Tunisia;87672.71;2;
Fowler Chamberlen;Male;28;China;81622.80;0;
Shepperd Geaveny;Male;52;Czech Republic;38475.25;4;
Chicky Breston;Male;18;Madagascar;118833.44;5;Vegetarian
Leontine Bruce;Female;88;Portugal;33085.25;1;Gluten free
Rockwell Tuvey;Male;47;Bahamas;88632.92;2;Vegan
Mabel Armal;Female;35;Indonesia;52084.53;3;Paleo
Hyatt Pyett;Male;21;Philippines;103090.72;2;Fish Allergies
Bertrando Laux;Male;20;China;67075.49;2;Paleo
Orland Firth;Male;73;Czech Republic;32390.06;3;Paleo
Bevvy Verdey;Female;20;Philippines;108460.46;0;
Napoleon Huyghe;Male;80;China;68157.39;1;Vegan
Daryn Tohill;Female;38;France;75597.29;3;
Ardyce Joss;Female;43;Indonesia;55884.25;0;
Kendell Bounde;Male;18;Greece;121074.01;2;
Kathryne Mitrikhin;Female;48;Thailand;133978.53;0;Vegan
Rebecka Hatchard;Female;70;China;117123.54;4;Paleo
Debby Mariaud;Female;79;Philippines;24021.53;5;
Lamont Eccleshall;Male;38;Spain;120761.49;4;
Tobie Dowden;Male;61;Greece;105410.46;2;Ketogenic
Dniren Isakov;Female;67;United States;137694.64;5;Gluten free
Dominik Gilbert;Male;75;China;88442.81;5;Vegan
Shurlocke McClay;Male;61;Colombia;89478.98;3;
Gregor Stopp;Male;19;United States;104542.41;3;
Brett Jeannaud;Female;26;Thailand;86156.25;3;
Jessamine Alfonzo;Female;18;Indonesia;53039.01;1;
Noemi Grasha;Female;60;Nigeria;100349.41;4;Fish Allergies
Carita Bonhan;Female;31;Mozambique;138479.96;2;
Lena Dobbin;Female;64;Indonesia;145054.62;1;Vegetarian
Athena Kunkler;Female;47;China;96843.73;0;Vegetarian
Noah Iozefovich;Male;48;Dominican Republic;24203.68;4;Lactose free
Lucretia Pauletti;Non-binary;30;Portugal;132954.63;1;Vegetarian
Meris Denslow;Female;83;Philippines;121978.73;0;Ketogenic
Lyman Madrell;Male;65;Denmark;47013.55;2;
Adey Sherewood;Female;66;Albania;69660.64;4;
Barbette MacKeever;Female;18;Iran;49468.57;1;
Neddie Abrahamsen;Male;35;Canada;92722.11;5;Fish Allergies
Gavin Songer;Male;82;Iran;141712.31;5;Gluten free
Stanley Dabnor;Male;85;Indonesia;29872.46;4;Fish Allergies
Marti Clunan;Female;34;Kenya;80735.34;4;
Michael Sheepy;Male;64;Indonesia;43260.22;3;Vegan
Felice Impey;Male;36;Portugal;132289.18;5;
Ginni Staunton;Female;84;Thailand;51581.77;1;
Wheeler Costain;Male;39;United States;82455.95;1;Gluten free
Irvin Le Bosse;Male;42;Hungary;51906.47;2;Vegetarian
Curry Jollie;Male;18;Russia;56643.92;2;
Onfroi Sidgwick;Male;61;China;115356.48;4;Paleo
Alaric Binks;Bigender;20;China;117403.29;2;
Ingar Handyside;Male;29;Costa Rica;137391.72;1;Vegetarian
Tiffy Blanchette;Female;20;Afghanistan;32637.52;5;Nut Allergies
Marlane Letherbury;Non-binary;42;Indonesia;52512.90;4;
Glori Hoffmann;Female;53;Kyrgyzstan;111483.94;0;Vegan
Land Stenhouse;Male;65;Argentina;123147.45;5;
Ham Canario;Male;73;China;100533.02;4;
Hephzibah Grinter;Genderqueer;67;Greece;30704.08;4;FODMAP
Celisse Mattimoe;Female;57;Greece;75184.05;3;FODMAP
Frederique Domini;Female;54;Indonesia;131280.05;1;Lactose free
Rowena Caramuscia;Female;56;China;100124.67;0;
Rosalinda Bernholt;Polygender;46;Sweden;56552.97;5;FODMAP
Issy Sandbrook;Female;28;Mexico;72558.36;4;Paleo
Winny Phil;Female;44;Colombia;113460.84;3;Gluten free
Blondy Fairall;Female;51;Russia;62842.52;3;Paleo
Edin Crean;Female;85;Macedonia;88679.96;0;
Morna Enticknap;Female;42;China;130057.79;1;Fish Allergies
Kayle Mayo;Female;18;Indonesia;45564.16;4;
Trescha Collier;Female;51;Palestinian Territory;22646.22;3;
Nico Preskett;Male;69;China;130267.43;1;
Tadeas Cowlin;Male;33;Brazil;23122.13;0;Vegan
Amery Celle;Male;80;China;48062.52;3;Vegan
Junie Golightly;Non-binary;63;Indonesia;73162.22;3;Fish Allergies
Else MacCurlye;Female;90;Sweden;101708.69;4;Vegetarian
Rhodia Mitchely;Female;89;China;54023.58;5;
Alanah Abbis;Female;24;Japan;43058.87;2;Ketogenic
Lela Doucette;Female;39;Armenia;98112.62;2;FODMAP
Dolly Hillatt;Female;90;Indonesia;138433.10;2;Paleo
Lorena Koppens;Agender;57;Peru;110179.90;0;
Gail Kingh;Female;23;Bosnia and Herzegovina;109863.55;2;
Aubry Stump;Female;54;Latvia;99800.63;2;Fish Allergies
Lindy Harrisson;Female;89;United States;62386.66;5;Nut Allergies
Corette Abrahamsen;Female;22;Mexico;35623.43;2;
Kirsti Accum;Female;49;Russia;71869.29;4;
Juliana Reinisch;Female;62;Russia;119664.59;3;
Consuela Blaw;Female;27;Ukraine;25695.19;4;Lactose free
Jacinta Pryde;Female;43;China;32180.05;2;Gluten free
Lannie Haslehurst;Male;55;Ecuador;100184.19;1;
Nicolais Dutnall;Male;88;Indonesia;118278.89;5;Ketogenic
Ellerey Olivi;Male;62;Russia;63302.17;1;Ketogenic
Marion Christofor;Female;34;China;49143.77;1;
Corbet Jarnell;Male;37;Indonesia;60057.90;2;Paleo
Ferris Maling;Male;80;United States;94217.81;5;
Brier Ben-Aharon;Female;52;China;141291.50;0;
Dehlia Junifer;Female;33;Russia;21264.18;0;Lactose free
Correy Orsman;Male;69;China;52321.89;4;
Rafaellle Wildey;Male;29;France;79085.85;0;Ketogenic
Kathrine Ivanyushkin;Female;58;China;45335.91;2;
Ashia Newman;Female;87;Oman;98513.59;3;Ketogenic
Bourke Noriega;Male;81;Russia;57824.12;3;
Ware Chantillon;Male;49;Pakistan;126541.43;3;